,start station id,start station latitude,start station longitude,end station latitude,end station longitude,gender,borough,ageintervals,tripdurationintervals,timeminutes,degrees
109,426,40.71754834,-74.01322069,40.74691959,-74.00451887,1,Manhattan,18.0,7.0,2.0,2.0
110,448,40.75660359,-73.9979009,40.746745000000004,-74.007756,1,Manhattan,15.0,6.0,2.0,28.0
111,499,40.76915505,-73.98191841,40.74691959,-74.00451887,1,Manhattan,21.0,8.0,2.0,28.0
112,326,40.72953837,-73.98426726,40.75797322,-73.96603308,1,Manhattan,18.0,7.0,2.0,4.0
113,403,40.72502876,-73.99069656,40.73226398,-73.99852205,1,Manhattan,14.0,2.0,2.0,39.0
114,347,40.72873888,-74.00748842,40.70281858,-73.98765762,1,Manhattan,18.0,13.0,2.0,18.0
115,293,40.73028666,-73.9907647,40.722055,-73.989111,1,Manhattan,11.0,3.0,2.0,21.0
116,252,40.73226398,-73.99852205,40.73028666,-73.9907647,1,Manhattan,24.0,2.0,2.0,13.0
117,151,40.7218158,-73.99720307,40.71602118,-73.99974372,1,Manhattan,19.0,2.0,2.0,25.0
118,368,40.73038599,-74.00214988,40.76019252,-73.9912551,1,Manhattan,18.0,9.0,2.0,3.0
119,468,40.7652654,-73.98192338,40.74487634,-73.99529885,1,Manhattan,20.0,8.0,2.0,27.0
120,529,40.75756989999999,-73.99098507,40.72938685,-73.97772429,1,Manhattan,13.0,9.0,2.0,19.0
121,529,40.75756989999999,-73.99098507,40.76269882,-73.99301222,1,Manhattan,19.0,2.0,2.0,42.0
122,466,40.74395411,-73.99144871,40.74734825,-73.99723551,1,Manhattan,24.0,1.0,3.0,38.0
123,168,40.73971301,-73.99456405,40.74475148,-73.99915362,1,Manhattan,15.0,2.0,3.0,40.0
124,499,40.76915505,-73.98191841,40.73587678,-73.98205027,1,Manhattan,19.0,9.0,3.0,23.0
125,388,40.749717753,-74.002950346,40.75645824,-73.99372222,1,Manhattan,16.0,3.0,3.0,7.0
126,455,40.75001986,-73.96905301,40.72229346,-73.99147535,2,Manhattan,27.0,9.0,3.0,27.0
127,513,40.768254,-73.988639,40.76340613,-73.97722479,1,Manhattan,17.0,3.0,3.0,14.0
128,294,40.73049393,-73.99572140000002,40.74144387,-73.97536082,2,Manhattan,13.0,7.0,3.0,8.0
129,497,40.73704984,-73.99009296,40.76584941,-73.98690506,1,Manhattan,12.0,9.0,3.0,1.0
130,257,40.71939226,-74.00247214,40.69028437,-73.98707105,1,Manhattan,17.0,7.0,3.0,19.0
131,315,40.70355377,-74.00670227,40.722055,-73.989111,2,Manhattan,13.0,16.0,3.0,5.0
132,470,40.74345335,-74.00004031,40.742354299999995,-73.98915076,1,Manhattan,15.0,2.0,3.0,12.0
133,497,40.73704984,-73.99009296,40.75172632,-73.98753523,1,Manhattan,12.0,3.0,3.0,1.0
134,432,40.72621788,-73.98379855,40.7361967,-74.00859207,1,Manhattan,13.0,6.0,3.0,36.0
135,264,40.70706456,-74.00731853,40.71542197,-74.01121978,1,Manhattan,10.0,3.0,3.0,42.0
136,494,40.74734825,-73.99723551,40.72229346,-73.99147535,2,Manhattan,15.0,12.0,3.0,21.0
137,461,40.73587678,-73.98205027,40.717571,-74.005549,1,Manhattan,17.0,5.0,3.0,29.0
138,280,40.73331967,-73.99510132,40.73224119,-74.00026394,1,Manhattan,19.0,1.0,3.0,32.0
139,441,40.756014,-73.967416,40.75019995,-73.99093085,1,Manhattan,25.0,7.0,3.0,32.0
140,444,40.742354299999995,-73.98915076,40.771522,-73.99054100000002,1,Manhattan,24.0,9.0,3.0,45.0
141,401,40.72019576,-73.98997825,40.71286844,-73.95698119,1,Manhattan,13.0,6.0,3.0,13.0
142,2021,40.75929124,-73.98859651,40.75714758,-73.97207836,1,Manhattan,30.0,6.0,3.0,12.0
143,293,40.73028666,-73.9907647,40.73331967,-73.99510132,1,Manhattan,17.0,2.0,3.0,38.0
144,329,40.72043411,-74.01020609,40.71625008,-74.0091059,1,Manhattan,16.0,1.0,3.0,21.0
145,375,40.72679454,-73.99695094,40.73454567,-73.99074142,1,Manhattan,13.0,3.0,3.0,5.0
146,521,40.75044999,-73.99481051,40.76669671,-73.99061728,1,Manhattan,21.0,5.0,4.0,2.0
147,500,40.76228826,-73.98336183,40.75934501,-73.96759673,2,Manhattan,29.0,5.0,4.0,13.0
148,263,40.71729000000001,-73.996375,40.71269042,-73.98776323,1,Manhattan,17.0,5.0,4.0,15.0
149,479,40.76019252,-73.9912551,40.73935542,-73.99931783,1,Manhattan,14.0,8.0,4.0,25.0
150,457,40.76695317,-73.98169333,40.76020258,-73.96478473,1,Manhattan,15.0,3.0,4.0,14.0
151,494,40.74734825,-73.99723551,40.76009437,-73.99461843,1,Manhattan,15.0,4.0,4.0,1.0
152,151,40.7218158,-73.99720307,40.71893904,-73.99266288,1,Manhattan,12.0,2.0,4.0,15.0
153,151,40.7218158,-73.99720307,40.71893904,-73.99266288,2,Manhattan,13.0,2.0,4.0,15.0
154,453,40.74475148,-73.99915362,40.73935542,-73.99931783,1,Manhattan,11.0,5.0,4.0,23.0
155,300,40.728145,-73.990214,40.7218158,-73.99720307,1,Manhattan,25.0,2.0,4.0,28.0
156,518,40.74780373,-73.97344190000003,40.76340613,-73.97722479,1,Manhattan,12.0,7.0,4.0,43.0
157,296,40.71413089,-73.99704679999998,40.74345335,-74.00004031,1,Manhattan,16.0,10.0,4.0,44.0
158,514,40.76087502,-74.00277668,40.73047747,-73.99906065,2,Manhattan,14.0,8.0,4.0,22.0
159,161,40.72917025,-73.99810231,40.722055,-73.989111,1,Manhattan,18.0,5.0,4.0,16.0
160,444,40.742354299999995,-73.98915076,40.72228087,-73.97668709,2,Manhattan,14.0,11.0,4.0,19.0
161,332,40.71219906,-73.97948148,40.70905623,-74.01043382,1,Manhattan,13.0,17.0,4.0,33.0
162,458,40.751396,-74.00522600000002,40.69236178,-73.98631746,1,Manhattan,15.0,14.0,4.0,20.0
